13100	14057	1800	4590	13600	14735	2002.2
14300	14662	2000	5190	13100	14057	2002.3
16000	16334	2300	4806	14300	14662	2002.4
17800	18357	2350	4665	16000	16334	2002.5
19600	20178	2800	4502	17800	18357	2002.6
19800	20904	3000	3774	19600	20178	2002.7
21000	21601	3000	4640	19800	20904	2002.8
23600	24040	3200	4393	21000	21601	2002.9
26400	27040	3200	4661	23600	24040	2002.10
30800	31721	3200	4021	26400	27040	2002.11
100	27848	3600	3525	30800	31721	2002.12
18800	24267	3000	9442	100	27848	2003.1
23800	25254	3000	12030	18800	24267	2003.2
28800	29551	3000	11219	23800	25254	2003.3
34100	34845	3300	8794	28800	29551	2003.4
35000	36903	3800	14634	34100	34845	2003.5
36100	37667	5500	15507	35000	36903	2003.6
36900	38269	6000	11929	36100	37667	2003.7
38500	39369	4500	9315	36900	38269	2003.8
28800	38728	6650	8532	38500	39369	2003.9
32800	34842	4500	9383	28800	38728	2003.10
33100	34284	5042	9849	32800	34842	2003.11
37100	38054	4776	10491	33100	34284	2003.12
38000	39516	5000	8663	37100	38054	2004.1
39600	40053	4800	10156	38000	39516	2004.2
43000	43333	4800	9950	39600	40053	2004.3
44200	45492	5500	8150	43000	43333	2004.4
10800	34226	6527	8114	44200	45492	2004.5
17800	21001	6233	19233	10800	34226	2004.6
21800	23544	6600	14464	17800	21001	2004.7
25100	25991	6800	15506	21800	23544	2004.8
29300	30033	6640	10634	25100	25991	2004.9
28000	29768	6600	9519	29300	30033	2004.10
26000	27620	6600	9188	28000	29768	2004.11
29300	30282	5500	9005	26000	27620	2004.12
28500	32520	5500	6208	29300	30282	2005.1
31700	32425	3800	8949	28500	32520	2005.2
34300	34684	4000	9117	31700	32425	2005.3
36800	37355	5000	8113	34300	34684	2005.4
35000	35661	5833	9673	36800	37355	2005.5
37000	37479	5690	8409	35000	35661	2005.6
37900	38378	6326	8777	37000	37479	2005.7
25000	35905	6829	7520	37900	38378	2005.8
26500	28927	6700	10972	25000	35905	2005.9
25200	26385	6000	11167	26500	28927	2005.10
29800	30320	5700	13633	25200	26385	2005.11
35200	36749	5700	8351	29800	30320	2005.12
26900	31220	5000	5907	35200	36749	2006.01
34200	34887	3800	12367	26900	31220	2006.2
38500	38932	4500	8904	34200	34887	2006.3
37500	38326	5000	7888	38500	38932	2006.4
37700	38139	4500	8301	37500	38326	2006.5
39500	39752	4500	8478	37700	38139	2006.6
39600	39966	5500	8966	39500	39752	2006.7
39900	40459	6200	9190	39600	39966	2006.8
37000	41601	6500	7064	39900	40459	2006.9
36300	37899	6500	11237	37000	41601	2006.10
37800	38460	6000	110234	36300	37899	2006.11
39800	40518	6500	9477	37800	38460	2006.12
38500	40974	6000	6587	39800	40518	2007.1
39100	40473	3500	5056	38500	40974	2007.2
41100	41573	4000	10168	39100	40473	2007.3
43300	43623	5500	10523	41100	41573	2007.4
44500	44853	6000	10273	43300	43623	2007.5
47200	47711	6000	11478	44500	44853	2007.6
45200	46581	5500	10327	47200	47711	2007.7
46500	46897	8000	12943	45200	46581	2007.8
48600	49631	8500	10561	46500	46897	2007.9
50500	51000	7500	10715	48600	49631	2007.10
53800	54317	7500	10596	50500	51000	2007.11
50000	56042	7500	10356	53800	54317	2007.12
8100	23370	16000	20539	50000	56042	2008.01
31300	32169	9300	63534	8100	23370	2008.03
37300	37659	9000	37072	31300	32169	2008.04
34400	36047	8200	26341	37300	37659	2008.05
33900	34947	7700	21208	34400	36047	2008.06
33800	34491	6800	16783	33900	34947	2008.07
35900	36460	6000	13451	33800	34491	2008.08
29300	31788	6500	11002	35900	36460	2008.09
32600	33224	5000	11882	29300	31788	2008.10
21800	24351	5500	10170	32600	33224	2008.11
31000	31665	4500	16801	21800	24351	2008.12
28600	29399	5200	16544	31000	31665	2009.1
33000	33394	5200	16848	28600	29399	2009.2
26600	27552	6000	18575	33000	33394	2009.3
28300	28724	6500	17654	26600	27552	2009.4
28500	29100	7200	16471	28300	28724	2009.5
30000	30363	8000	17433	28500	29100	2009.6
32100	32522	8000	17220	30000	30363	2009.7
36000	36231	8000	18750	32100	32522	2009.8
27200	29500	8500	14906	36000	36231	2009.9
33900	34402	8000	22006	27200	29500	2009.10
34900	35317	8000	21902	33900	34402	2009.11
36900	37593	8000	18577	34900	35317	2009.12
37800	38311	8000	18975	36900	37593	2010.1
38300	38620	7500	18810	37800	38311	2010.2
39600	39882	8000	17704	38300	38620	2010.3
41000	41637	8500	17313	39600	39882	2010.4
41900	42262	8500	16324	41000	41637	2010.5
39200	40380	9200	16252	41900	42262	2010.6
38400	39362	9000	13389	39200	40380	2010.7
39800	40169	9000	16855	38400	39362	2010.8
41800	42180	9000	15198	39800	40169	2010.9
43000	43271	9000	14941	41800	42180	2010.10
44900	45291	8500	13429	43000	43271	2010.11
10400	15970	9000	11224	44900	45291	2010.12
38300	38771	8000	30675	10400	15970	2011.1
44200	44627	7500	25104	38300	38771	2011.2
46200	46657	8000	25014	44200	44627	2011.3
46300	47399	8000	22326	46200	46657	2011.4
47400	47700	9000	25708	46300	47399	2011.5
48500	48855	9000	22474	47400	47700	2011.6
50900	51174	9000	21852	48500	48855	2011.7
51000	52228	9000	21544	50900	51174	2011.8
52200	52622	9500	22268	51000	52228	2011.9
53800	54008	9000	19415	52200	52622	2011.10
45700	47635	9000	20050	53800	54008	2011.11
51000	51437	8500	26531	45700	47635	2011.12
52800	53195	8000	24354	51000	51437	2012.1
55400	55632	8000	23391	52800	53195	2012.2
58300	58625	8000	24897	55400	55632	2012.3
61000	61626	8500	22706	58300	58625	2012.4
64000	64367	9300	24230	61000	61626	2012.5
55800	58227	9500	24774	64000	64367	2012.6
57700	58271	9500	26526	55800	58227	2012.7
62100	62559	9500	21425	57700	58271	2012.8
65700	66425	9500	19114	62100	62559	2012.9
65200	66708	9500	19921	65700	66425	2012.10
66400	66946	9500	19120	65200	66708	2012.11
68900	69346	9300	18244	66400	66946	2012.12
75000	75332	9000	20857	68900	69346	2013.1
83571	83571	9000	24651	75000	75332	2013.2
90800	91898	9000	23589	83571	83571	2013.3
83900	84100	11000	26174	90800	91898	2013.4
80700	80803	9000	22224	83900	84100	2013.5
77600	77823	9000	21482	80700	80803	2013.6
76300	76465	9000	21811	77600	77823	2013.7
74700	74939	9000	22650	76300	76465	2013.8
73400	73492	9000	35154	74700	74939	2013.9
82300	83723	10000	28887	73400	73492	2013.10
75500	75717	8500	38220	82300	83723	2013.11
76000	76093	8500	39625	75500	75717	2013.12
73500	73501	8100	41946	76000	76093	2014.1
73200	73357	7400	45758	73500	73501	2014.2
73800	73872	7400	61853	73200	73357	2014.3
74000	74113	8200	94241	73800	73872	2014.4
74400	74503	7400	114121	74000	74113	2014.5
73800	73896	7400	135677	74400	74503	2014.6
74600	74680	7400	136098	73800	73896	2014.7
73600	73785	7400	121550	74600	74680	2014.8
73800	73875	8300	122219	73600	73785	2014.9
74000	74075	7400	105532	73800	73875	2014.10
73500	73633	7400	95595	74000	74075	2014.11
73600	73687	7447	96972	73500	73633	2014.12
74000	74216	7990	98203	73600	73687	2015.1
76500	76618	7653	103224	74000	74216	2015.2
74600	74830	7406	132690	76500	76618	2015.3
80600	80759	8288	152298	74600	74830	2015.4
79000	79099	7482	156007	80600	80759	2015.5
80000	80020	7441	172205	79000	79099	2015.6
83100	83171	7531	166302	80000	80020	2015.7
82600	82642	7454	166939	83100	83171	2015.8
82100	82172	8727	165765	82600	82642	2015.9
85300	85424	7763	170995	82100	82172	2015.10
84600	84703	7514	169159	85300	85424	2015.11
84500	84572	7698	179133	84600	84703	2015.12
82200	82352	9409	187533	84500	84572	2016.1
